cat,IPCMLULUCF
clss,TOTAL
ent,KYOTOGHG
family,emi
gwp,AR4
note,calculated by the function combine_tables_varying_in_one_sheet_as by CC and JN from PRIMAP
scen,HISTORY
srce,EDGAR42COMPI
tablename,KYOTOGHG_IPCMLULUCF_TOTAL_NET_HISTORY_EDGAR42COMPI
tpe,NET
unit,MtCO2eq
ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
GBR,10.6089,10.5914,10.5703,10.5747,10.6247,10.5669,10.5456,10.5566,10.5415,10.5362,10.5458,10.5129,10.514000000000001,10.546,10.5128,10.509,10.5032,10.504000000000001,10.5072,10.5025,10.5014
GEO,0.22194,0.21483000000000002,0.21368,0.21402,0.21136,0.20720999999999998,0.22544,0.20934,0.2181,0.20024,0.20115999999999998,0.20638,0.19682,0.19614,0.19635999999999998,0.19343,0.19099000000000002,0.19093,0.18967,0.18698,0.19397999999999999
GHA,13.9738,11.1803,12.9755,12.0661,12.0041,13.32,12.9692,13.2163,11.0125,8.6027,9.2219,12.4873,8.6816,9.8929,6.8389,10.3953,12.7012,27.6918,43.9936,35.6777,42.9783
GIN,54.2602,43.7526,50.5078,47.0845,46.8467,51.7995,50.4898,51.4152,48.4601,53.6613,45.8657,58.1618,57.2292,44.0231,44.996,51.5316,123.8488,140.0631,226.7138,534.3608,201.6485
GMB,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
GNB,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
GNQ,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.018438,0.008,0.008,0.008,0.008,0.008,0.0080883,0.0080803
GRC,0.38898,0.34838,0.29951,0.30912,0.42388000000000003,0.29054,0.24106999999999998,0.26604,0.45885,0.18469000000000002,0.27102,0.28010999999999997,0.16182,0.1819,0.19752999999999998,0.17459000000000002,0.13583,0.15491,0.14672000000000002,0.17232,0.13546
GTM,4.0091,5.2721,4.1614,5.0096,4.6761,4.6493,5.0897,3.9546,109.1473,12.818,123.1488,20.6463,30.3232,56.2714,23.2382,40.8849,22.3197,22.4592,21.7188,22.0799,20.8801
GUY,13.5697,13.0071,13.5836,14.5431,11.2949,12.0969,12.4057,12.4924,44.5162,9.9678,10.3372,11.624,11.6795,11.1785,11.1502,11.0743,9.3059,9.9478,10.9639,166.3003,13.6421
HND,5.3357,6.666,5.5261,6.4242,6.0926,6.0814,6.5545,5.3867,3.5878,3.4998,3.3874,3.2749,3.1345,2.9697,2.8049,2.6924,2.58,2.4535,2.3969,2.4136,2.4302
HRV,0.072495,0.061066999999999996,0.047295,0.050128,0.08282300000000001,0.04506,0.031119,0.038314,0.12724000000000002,0.002375,0.094573,0.05773,0.06995,0.10925,0.025155,0.069509,0.0022778000000000004,0.050956,0.00225,0.026099,0.022043
HTI,0.004,0.0039778,0.0039556,0.0039333,0.0039111,0.0038889000000000003,0.0038667000000000003,0.0038444000000000004,0.0038222,0.0038,0.0037778,0.0037555999999999996,0.0037332999999999997,0.0037110999999999997,0.0036889,0.0036667,0.0036444000000000003,0.0036222000000000003,0.0036,0.0035778,0.0035556
HUN,0.8887700000000001,0.8676,0.8429200000000001,0.8431,0.8879799999999999,0.82739,0.8024600000000001,0.80917,0.82094,0.81721,0.82536,0.85134,0.7769199999999999,0.7786,0.79596,0.75758,0.7470100000000001,0.7226199999999999,0.71854,0.7064199999999999,0.70233
IDN,791.3574,1810.6089,1684.2174,975.6592,1716.9554,870.2392,843.5022,4785.8692,1595.3358,925.6871,914.3111,1111.515,1942.1815,1288.9571,1645.0137,2231.5451,3550.5059,1361.92,1330.3848,1905.9255,1197.4201
IND,38.2196,38.2196,38.2196,38.2196,38.2196,38.2196,38.2196,38.2196,27.5579,167.3101,43.1002,64.4064,35.3561,31.8702,34.6861,33.274,27.8525,27.3754,27.4044,30.0195,39.2247
IRL,10.4937,10.3624,10.2313,10.1031,9.9799,9.8468,9.7176,9.5921,9.4608,9.3629,9.2136,9.0889,8.9625,8.8394,8.7154,8.5933,8.4716,8.3505,8.2299,8.1304,8.0308
IRN,0.18356,0.18325,0.18350999999999998,0.18306,0.18275,0.18273,0.18228,0.18211,0.18169000000000002,0.18158,0.18142,0.20165,0.19744,0.19315,0.22951999999999997,0.19829000000000002,0.18033,0.1934,0.18254,0.1835,0.19542
IRQ,3.0604,3.062,3.1239,3.1104,3.112,3.1437,3.1302,3.1469,3.1339,3.2684,3.2762,3.2323,3.2346,3.2227,3.2376,3.2539999999999996,3.2667,3.2846,3.3003,3.3169999999999997,3.3338
ISL,17.625,17.6236,17.6222,17.6208,17.6195,17.618,17.6167,17.6153,17.6139,17.6125,17.6111,17.6097,17.6083,17.607,17.6055,17.6042,17.6028,17.6014,17.6,17.5986,17.5972
