2017_MtCO2eq_AR4,CO2_IPCM0EL,CH4_IPCM0EL,N2O_IPCM0EL,HFCSAR4_IPCM0EL,PFCSAR4_IPCM0EL,SF6_IPCM0EL,NF3_IPCM0EL,FGASESAR4_IPCM0EL,KYOTOGHGAR4_IPCM0EL,KYOTOGHGAR4_IPC1,KYOTOGHGAR4_IPC2,KYOTOGHGAR4_IPCMAG,KYOTOGHGAR4_IPC4,KYOTOGHGAR4_IPC5,CO2_IPC1,CO2_IPC2,CO2_IPCMAG,CO2_IPC4,CO2_IPC5,CH4_IPC1,CH4_IPC2,CH4_IPCMAG,CH4_IPC4,CH4_IPC5,N2O_IPC1,N2O_IPC2,N2O_IPCMAG,N2O_IPC4,N2O_IPC5,HFCSAR4_IPC2,PFCSAR4_IPC2,SF6_IPC2,NF3_IPC2,FGASESAR4_IPC2
AUT,0.1999238050211121,0.08201024496116309,0.12092468995763513,0.19780338554097465,0.08545678983645591,0.7251440271477003,0.3057342798834723,0.22186721170414514,0.17526509877412522,0.15953649631678296,0.4085027986186176,0.12011027714744203,0.0904912887853348,0.153067286394184,0.1720375576684567,0.4833931712513401,0.0693115324547631,0.007687056154371703,,0.020934578018538208,0.40435251222066937,0.13121106825215073,0.08246665905106973,,0.20296850935161986,0.09042785699159167,0.10662165456759053,0.19410081500108653,0.1530813786184591,0.19780338554097465,0.08545678983645591,0.7251440271477003,0.3057342798834723,0.22186721170414514
AZE,0.11599481220207356,0.3067303717426182,0.09959448981045237,0.1752225143599578,0.8989147196722959,,,0.20271247559573644,0.14898525005051497,0.16117305987795413,0.09465006144522436,0.11982921554866525,0.15161543224432333,0.05060336194349102,0.12167673916785682,0.06676645117545377,0.0,,,0.593596355972547,0.0017125231485698106,0.13381416385204684,0.15091256504118794,,0.08044856917295753,0.01901949059457705,0.10679326514954383,0.18905531339681578,0.050608020769961286,0.1752225143599578,0.8989147196722959,,,0.20271247559573644
BDI,0.00180071228223226,0.05314629013922505,0.05198553449549907,,,,,,0.0137293285059341,0.007644373956461645,0.004406656379638357,0.034412787681810636,0.08751616590402757,0.06958251773736776,0.0013845691909186554,0.006014585021487698,0.0,,,0.06790934422521375,,0.024242512266141648,0.09408520779897217,,0.08013380350975609,1.9644231982843563e-05,0.05250425754861472,0.033234755895810666,0.06958892389030012,,,,,
BEL,0.27840913123528616,0.09899597292981391,0.20002123660163995,0.321728674511045,0.32496451313178043,0.16723944197265508,0.01596943397115811,0.31202271247369046,0.24362485668032258,0.2376354836140007,0.4571553529037673,0.1662553320343329,0.09003404653923226,0.17015262423923025,0.25660827929230895,0.49612935988991946,0.10708810355422346,1.0298482492194565,,0.03516877635053296,0.1521598847231354,0.16295824381790724,0.07193079393721764,,0.22219342755023103,0.5671097934204629,0.17552330322184387,0.10233897706531181,0.1701682894345719,0.321728674511045,0.32496451313178043,0.16723944197265508,0.01596943397115811,0.31202271247369046
BEN,0.020428752886439867,0.08175970702398402,0.09799424279730126,,,,,,0.03545113250590662,0.022261340978421577,0.017274047892683206,0.10081400130159705,0.12262017727814048,0.07020013161845388,0.020222884074929736,0.023579809207218874,0.0017761042354422565,,,0.04191678112044259,,0.0965737319400428,0.12702585736495292,,0.04557530086090327,1.973682568093417e-05,0.11436129181368473,0.09875924891979997,0.07020659463234938,,,,,
BES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,0.008920445545086303,0.2618654766852976,0.34350362541935686,,,,,,0.07338789886727463,0.02142196873160053,0.005228886351677354,0.3934089874387172,0.182067765834753,0.14762753336461765,0.009154754019449535,0.007136084030716564,0.0,,,0.13887742619901478,,0.3977942558599264,0.18266226260971336,,0.17013602940537717,3.205338397005551e-05,0.41453823150186303,0.21143966284992377,0.14764112477502522,,,,,
BGD,0.24905119859410466,0.7144808645015664,0.37947383639368104,,,,,,0.3311874162927486,0.24446284971065607,0.040759597708566915,0.7425746057787583,1.4410751456331952,0.49463745560986905,0.2638262587427582,0.05518193916908639,1.2337319590318954,,,0.05322941535946105,,0.9525601930660501,1.477924061433092,,0.06989527204737951,0.007957204411200318,0.38452354071822936,1.3233209025157562,0.4946829946804539,,,,,
BGR,0.13355339109628975,0.08418570803944084,0.18161839595040224,0.20848027282869774,3.807275397499441e-05,0.03182761319064938,,0.18680447743556491,0.12943722141991668,0.1262911272855261,0.1447169866287787,0.10782903582545278,0.23068176144037583,0.18167349855949083,0.13378314012630624,0.1376961825828609,0.020234075895148456,0.055128030393632545,,0.04763849888260254,0.01890473290762466,0.04888747314537216,0.2442940284780274,,0.10679895183524966,0.05614690279045981,0.20477003665123647,0.11703354013176476,0.18169022443049082,0.20848027282869774,3.807275397499441e-05,0.03182761319064938,,0.18680447743556491
BHR,0.07489274855884434,0.08094855944519631,0.005620787300007849,,0.7310054045547595,,,0.03838580618111764,0.07064056411534582,0.08185931834427468,0.08735262945744342,0.0005751407873916596,0.04773548083677781,0.03185165433851429,0.07230926638692461,0.10481797027770826,0.0,,,0.19145618901107897,0.1275023964785276,0.0005466779463807509,0.05272533962370766,,0.010399373257309177,0.03832846953260979,0.000659713979674006,0.0028094973385649835,0.03185458677866559,,0.7310054045547595,,,0.03838580618111764
BHS,0.008448798223698019,0.0028658067210196826,0.003745799082791648,,,,,,0.007022692139927739,0.007335235847345765,0.010733428403171348,0.0005202762484023661,0.010917725524272557,0.040783301234221477,0.007870954510519775,0.014652159763077393,0.0,,,0.0015766921085398676,,0.00026804359670236404,0.011803281642962252,,0.007336807123259104,7.031267430294242e-07,0.0009454026959807762,0.0034228388255542245,0.04078705597137801,,,,,
BIH,0.062542294357497,0.037858514824030465,0.056722008586633066,0.1458066004039861,0.22499034166967116,,,0.1412178339554573,0.05960799304293744,0.059430952197008446,0.07906942381319872,0.04037918302426526,0.0814500854390671,0.06638161502673864,0.0626394326617052,0.06479874698298466,0.00682097157976955,0.01601844645033791,,0.024078839684437945,0.004112874307894653,0.029885432674181957,0.08536283777215434,,0.0683041489147129,0.006759339960614355,0.05890962252002196,0.05169318950209189,0.06638772648679479,0.1458066004039861,0.22499034166967116,,,0.1412178339554573
