Row,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016
KYOTOGHG_IPCM3C1AG_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,4.747,NaN,NaN,NaN,NaN,NaN,6.91196,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.91609,NaN,NaN,NaN,NaN,NaN,NaN
KYOTOGHG_IPCM3CAG_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,135.897,NaN,NaN,NaN,NaN,NaN,139.08444,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,160.36446,NaN,NaN,NaN,NaN,NaN,NaN
KYOTOGHG_IPCMAGELV_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,135.897,NaN,NaN,NaN,NaN,NaN,139.08444,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,160.36446,NaN,NaN,NaN,NaN,NaN,NaN
KYOTOGHG_IPCMAG_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,344.485,NaN,NaN,NaN,NaN,NaN,355.601654,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,390.16538,NaN,NaN,NaN,NaN,NaN,NaN
KYOTOGHG_IPCMBKA_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,2.88,NaN,NaN,NaN,NaN,NaN,3.22213,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.30996,NaN,NaN,NaN,NaN,NaN,NaN
KYOTOGHG_IPCMBKM_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,0.493,NaN,NaN,NaN,NaN,NaN,0.27673,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.34922,NaN,NaN,NaN,NaN,NaN,NaN
KYOTOGHG_IPCMBK_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,3.373,NaN,NaN,NaN,NaN,NaN,3.49886,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.65918,NaN,NaN,NaN,NaN,NaN,NaN
KYOTOGHG_IPCMLULUCF_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,14.29214,NaN,NaN,NaN,NaN,NaN,-222.56222,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-252.53195,NaN,NaN,NaN,NaN,NaN,NaN
N2O_IPC0_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,178.444,NaN,NaN,NaN,NaN,NaN,264.1734,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,370.79,NaN,NaN,NaN,NaN,NaN,NaN
N2O_IPC1A1_TOTAL_NET_HISTORY_UNFCCC2019BI,NaN,NaN,NaN,NaN,4.9,NaN,NaN,NaN,NaN,NaN,7.78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.06,NaN,NaN,NaN,NaN,NaN,NaN
