iso3,type_calc,type_orig,bl,bl_global_share,diff,tar_calc,tar_calc_ndc,tar_orig,tar_orig_ndc,refyr_emi_ssp,refyr_emi_ndc,diff_emi_refyr
SYC,-0,1,1,0.0,0.6158376666666666,ABS,ABS,ABU,ABU,,
AND,0,0,0,0.0,0.048051666666666715,ABS,ABS,ABU,ABU,,
WSM,0,0,0,0.0,0.0,RBU,RBU,RBU,RBU,,
GRD,0,-0,0,0.0,-0.207822,ABS,ABS,RBY,RBY,0.1,
VCT,0,0,0,0.0,-0.24951231999999993,ABS,ABS,RBU,RBU,,
TCA,0,0,0,0.0,0.0,baseline_emissions,nan,baseline_emissions,nan,,
KNA,1,0,0,0.0,-0.35182992142857145,ABS,ABS,RBU,RBU,,
PLW,0,0,0,0.0,0.0,RBY,RBY,RBY,RBY,0.1
STP,-0,0,0,0.0,0.6404109523809525,ABS,ABS,ABU,ABU,,
LIE,0,0,0,0.0,0.014868780000000054,ABS,ABS,RBY,RBY,0.3,
SMR,0,0,0,0.0,0.057936666666666664,ABS,ABS,RBY,RBY,0.3,
VGB,0,0,0,0.0,0.0,baseline_emissions,nan,baseline_emissions,nan,,
FSM,0,0,0,0.0,0.028030999999999986,ABS,ABS,RBY,RBY,0.2
MHL,0,0,0,0.0,0.0,ABS,ABS,RBY,RBY,0.2
TON,-0,0,0,0.0,0.27,ABU,ABU,baseline_emissions,NGT,,
AIA,0,0,0,0.0,0.0,baseline_emissions,nan,baseline_emissions,nan,,
MCO,0,0,0,0.0,0.034430788699999985,ABS,ABS,RBY,RBY,0.2,
KIR,0,0,0,0.0,0.016246853333333325,ABS,ABS,RBU,RBU,,
DMA,-0,-0,0,0.0,0.03058257999999999,ABS,ABS,RBY,RBY,0.1
FJI,-1,-1,0,0.0,0.0,RBU,RBU,RBU,RBU,,
COK,0,0,0,0.0,0.003539927000000005,ABS,ABS,RBY,RBY,0.0
